published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,47877117,null,"Three-dimensional crystal defect imaging by STEM depth sectioning",null,"[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"Abstract

 One of the major innovations awaiting in electron microscopy is full three-dimensional imaging at atomic resolution. Despite the success of aberration correction to deep sub-ångström lateral resolution, spatial resolution in depth is still far from atomic resolution. In scanning transmission electron microscopy (STEM), this poor depth resolution is due to the limitation of the illumination angle. To overcome this physical limitation, it is essential to implement a next-generation aberration corrector in STEM that can significantly improve the depth resolution. This review discusses the capability of depth sectioning for three-dimensional imaging combined with large-angle illumination STEM. Furthermore, the statistical analysis approach remarkably improves the depth resolution, making it possible to achieve three-dimensional atomic resolution imaging at oxide surfaces. We will also discuss the future prospects of three-dimensional imaging at atomic resolution by STEM depth sectioning.",null,"IOP Publishing",2024-07-01,null,"Chinese Physics B",33,8,086101,086101,null,true,false,scientific_journal,null,null,10.1088/1674-1056/ad4ff9,1674-1056,2058-3834,https://iopscience.iop.org/article/10.1088/1674-1056/ad4ff9,https://iopscience.iop.org/article/10.1088/1674-1056/ad4ff9/pdf,false,disclosed
insert,merge,null,47877103,null,"Crystal structures of two new high-pressure oxynitrides with composition SnGe<sub>4</sub>N<sub>4</sub>O<sub>4</sub>, from single-crystal electron diffraction",null,"[Philipp Gollé-Leidreiter,Shrikant Bhat,Leonore Wiehl,Qingbo Wen,Peter Kroll,Ryo Ishikawa,Martin Etter,Robert Farla,Yuichi Ikuhara,Ralf Riedel,Ute Kolb]",null,null,"SnGe<sub>4</sub>N<sub>4</sub>O<sub>4</sub> was synthesized at high pressure (16 and 20 GPa) and high temperature (1200 and 1500°C) in a large-volume press. Powder X-ray diffraction experiments using synchrotron radiation indicate that the derived samples are mixtures of known and unknown phases. However, the powder X-ray diffraction patterns are not sufficient for structural characterization. Transmission electron microscopy studies reveal crystals of several hundreds of nanometres in size with different chemical composition. Among them, crystals of a previously unknown phase with stoichiometry SnGe<sub>4</sub>N<sub>4</sub>O<sub>4</sub> were detected and investigated using automated diffraction tomography (ADT), a three-dimensional electron diffraction method. Via ADT, the crystal structure could be determined from single nanocrystals in space group P6<sub>3</sub> mc, exhibiting a nolanite-type structure. This was confirmed by density functional theory calculations and atomic resolution scanning transmission electron microscopy images. In one of the syntheses runs a rhombohedral 6R polytype of SnGe<sub>4</sub>N<sub>4</sub>O<sub>4</sub> could be found together with the nolanite-type SnGe<sub>4</sub>N<sub>4</sub>O<sub>4</sub>. The structure of this polymorph was solved as well using ADT.",null,"International Union of Crystallography (IUCr)",2024-05-08,null,"Acta Crystallographica Section B Structural Science, Crystal Engineering and Materials",80,3,182,192,null,true,false,scientific_journal,null,null,10.1107/s2052520624002683,null,2052-5206,https://journals.iucr.org/b/issues/2024/03/00/je5053/je5053.pdf,null,false,disclosed
insert,merge,null,46221930,null,"Real-time tracking of three-dimensional atomic dynamics of Pt trimer on TiO 2 (110)",null,"[Ryo Ishikawa,Toshihiro Futazuka,Yu Jimbo,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,null,null,null,2024-03,null,"Science Advances",null,null,null,null,null,true,null,scientific_journal,null,null,10.1126/sciadv.adk6501,null,null,null,null,false,disclosed
insert,merge,null,46222078,null,"Direct Imaging of Atomic Rattling Motion in a Clathrate Compound",null,"[Koudai Tabata,Takehito Seki,Scott D. Findlay,Ryo Ishikawa,Ryuji Tamura,Yuichi Ikuhara,Naoya Shibata]",null,null,"<jats:p>Controlling nanoscale heat generation, dissipation, and transport is crucial for miniaturizing electronic devices and for designing highly efficient thermoelectric materials. However, it has been challenging to directly measure thermal properties at individual atom level. Herein, direct atomic‐resolution column‐by‐column imaging of the rattling motion of Ba atoms in a clathrate compound Ba<jats:sub>8</jats:sub>Ga<jats:sub>16</jats:sub>Ge<jats:sub>30</jats:sub> using atomic‐resolution scanning transmission electron microscopy with a segmented detector is shown. The directional anisotropy of the rattling motion is clearly visualized in real space and its amplitude and anisotropy are quantitatively evaluated by Bayesian analysis of the thermal diffuse scattering distribution. These results open a new possibility for directly characterizing nanoscale thermal properties in materials and devices, even those containing heavy elements such as thermoelectric materials.</jats:p>",null,null,2024-02-17,null,"Small Science",null,null,null,null,eng,true,null,scientific_journal,null,null,10.1002/smsc.202300254,null,null,null,null,false,disclosed
insert,merge,null,46103773,null,"Ultra-stable and highly reactive colloidal gold nanoparticle catalysts protected using multi-dentate metal oxide nanoclusters",null,"[Kang Xia,Takafumi Yatabe,Kentaro Yonesato,Soichi Kikkawa,Seiji Yamazoe,Ayako Nakata,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara,Kazuya Yamaguchi,Kosuke Suzuki]",null,null,"Abstract

Owing to their remarkable properties, gold nanoparticles are applied in diverse fields, including catalysis, electronics, energy conversion and sensors. However, for catalytic applications of colloidal gold nanoparticles, the trade-off between their reactivity and stability is a significant concern. Here we report a universal approach for preparing stable and reactive colloidal small (~3 nm) gold nanoparticles by using multi-dentate polyoxometalates as protecting agents in non-polar solvents. These nanoparticles exhibit exceptional stability even under conditions of high concentration, long-term storage, heating and addition of bases. Moreover, they display excellent catalytic performance in various oxidation reactions of organic substrates using molecular oxygen as the sole oxidant. Our findings highlight the ability of inorganic multi-dentate ligands with structural stability and robust steric and electronic effects to confer stability and reactivity upon gold nanoparticles. This approach can be extended to prepare metal nanoparticles other than gold, enabling the design of novel nanomaterials with promising applications.",null,"Springer Science and Business Media LLC",2024-02-06,null,"Nature Communications",15,1,null,null,null,true,null,scientific_journal,null,null,10.1038/s41467-024-45066-9,null,2041-1723,https://www.nature.com/articles/s41467-024-45066-9.pdf,https://www.nature.com/articles/s41467-024-45066-9,false,disclosed
insert,merge,null,46222077,null,"Mixed anion effects on structural and electrochemical characteristics of Li<sub>4</sub>Ti<sub>5</sub>O<sub>12</sub> for high-rate and durable anode materials",null,"[Hye-min Kim,Dae-wook Kim,Kenjiro Hara,Hiromasa Shiiba,Youn Charles-Blin,Eugenio Hernán Otal,Hideki Tanaka,Katsuya Teshima,Gabriel Sanchez-Santolino,Ryo Ishikawa,Yuichi Ikuhara,Nobuyuki Zettsu]",null,null,"<jats:p>F<jats:sup>−</jats:sup> or Cl<jats:sup>−</jats:sup> doped LTO surface significantly reduced the presence of pentacoordinate Ti atoms due to halide bonding, resulting in mitigation of electrode deformation due to gas evolution, which is a typical characteristic of LTO electrodes.</jats:p>",null,null,2024-01-11,null,"Journal of Materials Chemistry A",null,null,null,null,eng,true,null,scientific_journal,null,null,10.1039/d3ta03494a,null,null,null,null,false,disclosed
insert,merge,null,46222400,null,"Cloud Data Acquisition from Shared-Use Facilities in A University-Scale Laboratory Information Management System",null,"[Masatoshi Hanai,Mitsuaki Kawamura,Ryo Ishikawa,Toyotaro Suzumura,Kenjiro Taura]",null,null,null,null,ACM,2023-12-04,null,"Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing",null,null,null,null,null,true,null,international_conference_proceedings,null,null,10.1145/3603166.3632147,null,null,https://dl.acm.org/doi/pdf/10.1145/3603166.3632147,null,false,disclosed
insert,merge,null,46227825,null,"La-Al Intermetallic Alloy Anode for Realizing High-Energy Fluoride-Ion Battery",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",[corresponding],null,null,null,null,2023-12-01,null,"Journal of The Electrochemical Society",null,null,null,null,null,true,null,scientific_journal,null,null,10.1149/1945-7111/ad136e,null,null,null,null,false,disclosed
insert,merge,null,43614806,null,"Fast reconstruction of scanning transmission electron microscopy images using Markov random field model",null,"[Taichi Kusumi,Shun Katakami,Ryo Ishikawa,Kazuki Kawahara,Naoya Shibata,Masato Okada]",null,null,null,null,"Elsevier BV",2023-11,null,Ultramicroscopy,253,null,113811,113811,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2023.113811,0304-3991,null,null,null,false,disclosed
insert,merge,null,48512387,null,"Real-time Tracking of Atomic Dynamics",null,"[Ryo Ishikawa,Yu Jimbo,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2023-07-22,null,"Microscopy and microanalysis : the official journal of Microscopy Society of America, Microbeam Analysis Society, Microscopical Society of Canada",29,1,1372,1373,null,null,null,scientific_journal,null,null,10.1093/micmic/ozad067.705,null,1435-8115,null,null,false,disclosed
insert,merge,null,40966749,null,"Spatial and phase resolution in electron microscopy",null,"[Ryo Ishikawa,Shigeyuki Morishita,Toshiaki Tanigaki,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"Abstract

 With the invention of the aberration corrector in electron optics, the spatial resolution in electron microscopy has progressively improved and has now reached the sub-50-pm regime, and atomic-resolution electron microscopy has become a versatile tool for investigating the atomic structures in materials and devices. Furthermore, the phase resolution in electron microscopy also exhibits outstanding progress, and it has become possible to visualize electromagnetic fields at atomic dimensions, which strongly contributes to understanding the physical and chemical properties of materials. The electron microscopy society has grown with the improvements in spatial and phase resolutions, and hence, we must continuously develop new hardware, software and methodologies to boost these resolutions. Here, we review the historical progress of spatial and phase resolutions in electron microscopy, where we clarify the definition of these resolutions. We also discuss the future targets in electron microscopy.",null,"Oxford University Press (OUP)",2023-04-02,null,Microscopy,72,2,78,96,null,true,true,scientific_journal,null,false,10.1093/jmicro/dfac045,2050-5698,2050-5701,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfac045/46382032/dfac045.pdf,https://academic.oup.com/jmicro/article-pdf/72/2/78/49775044/dfac045.pdf,false,disclosed
insert,merge,null,41759210,null,"Fluoride Ion Conductivity of Rb Doped KSbF4",null,"[Kazuaki Kawahara,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",null,null,"Abstract

 All solid-state fluoride ion batteries are considered to be high energy density and safe energy storage devices. However, the F– ion conductivities of solid electrolytes at room temperature are low (&lt; 10-6 S cm-1), which requires the higher operating temperature of fluoride ion battery such as 420 K or higher. Therefore, the faster F– ion conductors is strongly desired to operate fluoride ion battery at lower or even room temperature. KSbF4 is one of the promising candidates to have a faster F– ion conductivity. To expand F– ion conduction pathways, we doped Rb in KSbF4 and further investigated the compositional dependence of ionic conductivity in K1-xRbxSbF4 system. We found that ionic conductivity strongly depends on the chemical composition and conductivity was maximized at x = 0.15. At room temperature, the F– ion conductivity in the bulk and at the grain boundary of K0.85Rb0.15SbF4 were σbulk = 1.01 × 10-4 S cm-1 and σGB = 4.80 × 10-5 S cm-1, respectively.",null,"The Electrochemical Society",2023-02-16,null,"Journal of The Electrochemical Society",170,null,020528,null,eng,true,null,scientific_journal,true,false,10.1149/1945-7111/acbca5,0013-4651,1945-7111,https://iopscience.iop.org/article/10.1149/1945-7111/acbca5,https://iopscience.iop.org/article/10.1149/1945-7111/acbca5/pdf,false,disclosed
insert,merge,null,41972531,null,"Resolution does matter",null,"[Ryo Ishikawa,Toshiaki Tanigaki,Yoshiyuki Fukuda]",[lead],null,null,null,"Oxford University Press (OUP)",2023-02-04,null,Microscopy,72,2,65,65,eng,true,null,scientific_journal,null,null,10.1093/jmicro/dfad010,2050-5698,2050-5701,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfad010/49178608/dfad010.pdf,https://academic.oup.com/jmicro/article-pdf/72/2/65/49774963/dfad010.pdf,false,disclosed
insert,merge,null,41972601,深さ断層法による3次元電子顕微鏡法,null,"[石川 亮,柴田 直哉,幾原 雄一]",null,"[lead,corresponding]",null,null,null,null,2023-02,null,null,92,2,74,78,jpn,true,true,null,null,null,10.11470/oubutsu.92.2_74,null,null,null,null,false,disclosed
insert,merge,null,41759207,null,"Formation of La-rich tysonite nano-precipitates in fluorite Ba0.6La0.4F2.4",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Atsushi Mineshige,Naoya Shibata,Yuichi Ikuhara]",[corresponding],null,null,null,"Elsevier BV",2023-02,null,"Journal of Power Sources",557,null,232581,232581,null,true,null,scientific_journal,true,false,10.1016/j.jpowsour.2022.232581,0378-7753,null,null,null,false,disclosed
insert,merge,null,46227823,null,"Single‐atom microscopy in wide‐bandgap nitrides",null,"[Ryo Ishikawa,Naoya Shibata,Fumiyasu Oba,Takashi Taniguchi,Yuichi Ikuhara]",null,null,null,null,null,2023-01,null,"International Journal of Applied Ceramic Technology",null,null,null,null,null,null,null,scientific_journal,null,null,10.1111/ijac.14134,null,null,null,null,false,disclosed
insert,merge,null,43371254,null,"Highly Durable Bifunctional Gas Diffusion Electrodes Fabricated with Melilite-Type Fe/Co/Ni-Mixed Oxide Electrocatalysts",null,"[Satoshi Ogawa,Kei Nakayama,Misaki Katayama,Ryo Ishikawa,Yuichi Ikuhara,Miwa Saito,Teruki Motohashi]",null,null,null,null,"American Chemical Society (ACS)",2022-11-09,null,"ACS Applied Energy Materials",5,12,15502,15509,null,null,null,scientific_journal,null,null,10.1021/acsaem.2c03084,2574-0962,2574-0962,https://pubs.acs.org/doi/pdf/10.1021/acsaem.2c03084,null,false,disclosed
insert,merge,null,40749528,null,"Crystal Defect Core Studied by Advanced Electron Microscopy",null,"[Bin Feng,Jiake Wei,Ryo Ishikawa,Takehito Seki,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,"Japan Institute of Metals",2022-10-01,null,"Materia Japan",61,10,640,644,null,true,true,scientific_journal,null,null,10.2320/materia.61.640,1340-2625,1884-5843,https://www.jstage.jst.go.jp/article/materia/61/10/61_640/_pdf,null,false,disclosed
insert,merge,null,46227826,null,"Grain boundary structural transformation induced by co-segregation of aliovalent dopants",null,"[Toshihiro Futazuka,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2022-09-15,null,"Nature Communications",null,null,null,null,null,null,null,scientific_journal,null,null,10.1038/s41467-022-32935-4,null,null,null,null,false,disclosed
insert,merge,null,38973089,null,"Atomic-resolution STEM image denoising by total variation regularization",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",null,null,"Abstract

 Atomic-resolution electron microscopy imaging of solid-state material is a powerful method for structural analysis. Scanning transmission electron microscopy (STEM) is one of the actively used techniques to directly observe atoms in materials. However, some materials are easily damaged by the electron beam irradiation, and only noisy images are available when we decrease the electron dose to avoid beam damages. Therefore, a denoising process is necessary for precise structural analysis in low-dose STEM. In this study, we propose total variation (TV) denoising algorithm to remove quantum noise in an STEM image. We defined an entropy of STEM image that corresponds to the image contrast to determine a hyperparameter and we found that there is a hyperparameter that maximizes the entropy. We acquired atomic-resolution STEM image of CaF2 viewed along the [001] direction and executed TV denoising. The atomic columns of Ca and F are clearly visualized by the TV denoising, and atomic positions of Ca and F are determined with the error of ±1 pm and ±4 pm, respectively.",null,"Oxford University Press (OUP)",2022-06-17,null,Microscopy,71,5,302,310,eng,true,null,scientific_journal,true,false,10.1093/jmicro/dfac032,2050-5698,2050-5701,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfac032/44512771/dfac032.pdf,https://academic.oup.com/jmicro/article-pdf/71/5/302/46350290/dfac032.pdf,false,disclosed
insert,merge,null,38973088,null,"Direct Observation of Atomistic Reaction Process between Pt Nanoparticles and TiO<sub>2</sub> (110)",null,"[Ryo Ishikawa,Yujiro Ueno,Yuichi Ikuhara,Naoya Shibata]","[lead,corresponding]",null,null,null,"American Chemical Society (ACS)",2022-05-09,null,"Nano Letters",22,10,4161,4167,null,null,null,scientific_journal,true,false,10.1021/acs.nanolett.2c00929,1530-6984,1530-6992,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.2c00929,null,false,disclosed
insert,merge,null,37664136,null,"Factors limiting quantitative phase retrieval in atomic-resolution differential phase contrast scanning transmission electron microscopy using a segmented detector",null,"[T. Mawson,D.J. Taplin,H.G. Brown,L. Clark,R. Ishikawa,T. Seki,Y. Ikuhara,N. Shibata,D.M. Paganin,M.J. Morgan,M. Weyland,T.C. Petersen,S.D. Findlay]",null,null,null,null,"Elsevier BV",2022-03,null,Ultramicroscopy,233,null,113457,113457,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2021.113457,0304-3991,null,null,null,false,disclosed
insert,merge,null,37663707,null,"Effect of annealing on grain growth and Y segregation behavior in tetragonal ZrO 2 thin film",null,"[Hiroaki Nakade,Eita Tochigi,Bin Feng,Ryo Ishikawa,Hiromichi Ohta,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,Wiley,2022-03,null,"Journal of the American Ceramic Society",105,3,2300,2308,null,true,null,scientific_journal,null,null,10.1111/jace.18217,0002-7820,1551-2916,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jace.18217,https://onlinelibrary.wiley.com/doi/full-xml/10.1111/jace.18217,false,disclosed
insert,merge,null,37945374,null,"Atomic-Level Changes during Electrochemical Cycling of Oriented LiMn<sub>2</sub>O<sub>4</sub> Cathodic Thin Films",null,"[Yumi H. Ikuhara,Xiang Gao,Kazuaki Kawahara,Craig A. J. Fisher,Akihide Kuwabara,Ryo Ishikawa,Hiroki Moriwake,Yuichi Ikuhara]",null,null,null,null,"American Chemical Society (ACS)",2022-02-09,null,"ACS Applied Materials &amp; Interfaces",14,5,6507,6517,null,true,null,scientific_journal,null,null,10.1021/acsami.1c18630,1944-8244,1944-8252,https://pubs.acs.org/doi/pdf/10.1021/acsami.1c18630,null,false,disclosed
insert,merge,null,46227827,null,"Grain boundary structural transformation induced by co-segregation of aliovalent dopants",null,"[Futazuka\, T.,Ishikawa\, R.,Shibata\, N.,Ikuhara\, Y.]",null,null,null,null,null,2022,null,"Nature Communications",13,1,null,null,null,null,null,scientific_journal,null,null,10.1038/s41467-022-32935-4,2041-1723,null,http://www.scopus.com/inward/record.url?eid=2-s2.0-85137858195&partnerID=MN8TOARS,null,false,disclosed
insert,merge,null,46227824,null,"Single-atom microscopy in wide-bandgap nitrides",null,"[Ishikawa\, R.,Shibata\, N.,Oba\, F.,Taniguchi\, T.,Ikuhara\, Y.]",null,null,null,null,null,2022,null,"International Journal of Applied Ceramic Technology",null,null,null,null,null,null,null,scientific_journal,null,null,10.1111/ijac.14134,"[1744-7402,1546-542X]",null,http://www.scopus.com/inward/record.url?eid=2-s2.0-85135274276&partnerID=MN8TOARS,null,false,disclosed
