presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,43815665,"Three-dimensional and dynamic STEM imaging at atomic resolution","Three-dimensional and dynamic STEM imaging at atomic resolution","[Ryo Ishikawa]",null,"The 20th International Microscopy Congress",null,2023-09-11,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,43815664,"Development of high-spatiotemporal-resolution STEM imaging","Development of high-spatiotemporal-resolution STEM imaging","[Ryo Ishikawa]","[Ryo Ishikawa]","10th International Workshop Spinel Nitrides and Related Materials",null,2023-09-04,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946811,"Real-time Tracking of Atomic Dynamics","Real-time Tracking of Atomic Dynamics","[Ryo Ishikawa,Yu Jimbo,Naoya Shibata,Yuichi Ikuara]","[Ryo Ishikawa,Yu Jimbo,Naoya Shibata,Yuichi Ikuara]","Microscopy and Microanalysis 2023","Microscopy and Microanalysis 2023",2023-07-27,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946804,"Three-dimensional and high-spatiotemporal-resolution STEM imaging","Three-dimensional and high-spatiotemporal-resolution STEM imaging","[Ryo Ishikawa]",null,"Seminar at Oak Ridge National Laboratory","Seminar at Oak Ridge National Laboratory",2023-07-21,null,null,true,null,public_discourse,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946783,"Three-dimensional imaging by STEM depth sectioning","Three-dimensional imaging by STEM depth sectioning","[Ryo Ishikawa]",null,"IAMNano 2023",null,2023-06-29,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946751,深さ断層STEM法による3次元電子顕微鏡法,null,[石川亮],null,第79回日本顕微鏡学会,null,2023-06-27,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946738,原子分解能STEM電子顕微鏡法による3次元欠陥構造解析,null,[石川亮],null,"第79回日本顕微鏡学会 第16回<風戸賞>受賞講演会",null,2023-06-26,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946702,"Realizing dynamic observations in atomic-resolution STEM","Realizing dynamic observations in atomic-resolution STEM","[Ryo Ishikawa]","[Ryo Ishikawa]","International Workshop on Scanning Transmission Electron Microscopy","International Workshop on Scanning Transmission Electron Microscopy",2023-05-22,2023-05-19,2023-05-22,true,null,invited_oral_presentation,null,null,null,null,CHN,null,null,true,false,null,null,false,disclosed
insert,merge,null,41972747,セラミックス材料解析に向けた先端電子顕微鏡法の開発,null,"[石川 亮]",null,第171回総会および講演会,null,2023-02-21,null,null,true,jpn,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,41972744,深さ断層法による原子分解能3次元計測,null,"[石川 亮]",null,情報計測オンラインセミナー,null,2023-01-14,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,41972758,深さ断層法による３次元電子顕微鏡の開発と応用,null,"[石川 亮,柴田 直哉,幾原 雄一]",null,日本顕微鏡学会第65回シンポジウム,null,2022-11-05,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,41972724,null,"Towards three-dimensional atom-by-atom imaging by STEM depth sectioning",null,"[Ryo Ishikawa]",null,"Seminar at National University of Singapore",2022-09-22,null,null,true,eng,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,41972718,"For the development of dynamic observation in atomic-resolution STEM","For the development of dynamic observation in atomic-resolution STEM","[Ryo Ishikawa]",null,"2nd International Conference on Materials for Humanity (MH 22)",null,2022-09-20,null,null,true,eng,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,38973846,null,"Toward three-dimensional and dynamic observations by atomic-resolution STEM",null,"[Ryo Ishikawa]",null,"RIKEN Seminar",2022-07-15,null,null,true,eng,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,38973789,null,"Three-dimensional imaging by large-angle illumination STEM",null,"[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",null,"Materials Research Society Spring Meeting",2022-05-24,null,null,true,eng,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,38973877,TVレート原子分解能STEM法の開発と原子ダイナミクス,null,"[石川亮,神保雄,寺尾光央,西川雅史,上野裕次郎,森下茂幸,向井雅貴,柴田直哉,幾原雄一]",null,第78回日本顕微鏡学会,null,2022-05-12,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,38973686,深さ断層法による３次元電子顕微鏡の開発と応用,null,[石川亮],null,第７回マイクロビームアナリシス研究会,null,2022-03-03,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,38973648,3次元原子分解能を目指して,null,[石川亮],null,"2021年度日本顕微鏡学会 超高分解能顕微鏡法分科会",null,2022-02-18,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,33929343,3次元電子顕微鏡法の開発と応用,null,"[石川 亮]",null,"学際的顕微研究領域若手研究部会 若手シンポジウム",null,2021-11-17,2021-11-17,2021-11-17,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,33929321,機能コアにおける３次元構造解析,null,"[石川 亮,柴田 直哉,幾原 雄一]",null,日本金属学会第169回講演大会,null,2021-09-16,2021-09-14,2021-09-17,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,33929092,"Direct atomistic defect observations by depth sectioning and dynamic STEM","Direct atomistic defect observations by depth sectioning and dynamic STEM","[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","Microscopy & Microanalysis 2021","Microscopy & Microanalysis 2021",2021-08-05,2021-08-01,2021-08-05,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,33929073,"Three-dimensional and dynamic STEM imaging at atomic resolution","Three-dimensional and dynamic STEM imaging at atomic resolution","[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",日本顕微鏡学会第76回学術講演会,"The 76the Annual Meeting of the Japanese Society of Microscopy",2021-05-27,2021-05-25,2021-05-27,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,33928969,"Three-dimensional Imaging by STEM Depth Sectioning","Three-dimensional Imaging by STEM Depth Sectioning","[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","[Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]","PICO 2021","PICO 2021",2021-05-04,2021-05-02,2021-05-06,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995450,TVレート原子分解能STEM法の開発と応用,null,[石川亮],null,第13回ユーザーズミーティング,null,2021-01-15,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995431,"Advanced electron microscopy for point defects","Advanced electron microscopy for point defects","[Ryo Ishikawa]","[Ryo Ishikawa]","CEMS Topical Meeting","CEMS Topical Meeting",2020-11-29,null,null,true,eng,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995187,"High spatiotemporal-resolution imaging in the scanning transmission electron microscope","High spatiotemporal-resolution imaging in the scanning transmission electron microscope","[Ryo Ishikawa]",null,日本顕微鏡学会第63回シンポジウム,null,2020-11-29,null,null,true,null,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995217,"TV-rate atomic-resolution STEM imaging","TV-rate atomic-resolution STEM imaging","[Ryo Ishikawa,Yu Jimb,Mitsuhisa Terao,Nishikawa Masahi,Yujiro Ueno,Shigeyuki Morishita,Masaki Mukai,Naoya Shibata,Yuichi Ikuhara]","[Ryo Ishikawa,Yu Jimb,Mitsuhisa Terao,Nishikawa Masahi,Yujiro Ueno,Shigeyuki Morishita,Masaki Mukai,Naoya Shibata,Yuichi Ikuhara]","Microscopy & Microanalysis 2020","Microscopy & Microanalysis 2020",2020-09-04,null,null,false,eng,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995135,３次元電子顕微鏡法の開発と機能コア構造解析への応用,null,"[石川亮,幾原雄一,柴田直哉]",null,"日本セラミックス協会 第33回秋季シンポジウム",null,2020-09-02,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995247,"Recent progresses in atomic-resolution STEM","Recent progresses in atomic-resolution STEM","[Ryo Ishikawa]","[Ryo Ishikawa]","Seminor in Monash Centre for Electron Microscopy","Seminor in Monash Centre for Electron Microscopy",2020-08-11,null,null,true,eng,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31995167,原子分解能表面高さイメージング,null,"[石川亮,田中利空,川原一晃,柴田直哉,幾原雄一]",null,日本顕微鏡学会第76回学術講演会,null,2020-05-25,null,null,false,null,oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,closed
insert,merge,null,42946961,"Complex atomic structure and three-dimensional single dopant distribution in Ce-doped cubic boron nitride","Complex atomic structure and three-dimensional single dopant distribution in Ce-doped cubic boron nitride","[Ryo Ishikawa]",null,"Materials Research Meeting 2019","Materials Research Meeting 2019",2019-12-11,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946944,"Complex Point Defect Structure Analysis by Atomic-Resolution STEM","Complex Point Defect Structure Analysis by Atomic-Resolution STEM","[Ryo Ishikawa]","[Ryo Ishikawa]",PRICM10,PRICM10,2019-08-29,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42947010,"Atomic-resolution dynamic STEM observations for single atom tracking",null,"[Ryo Ishikawa]",null,"19th International Microscopy Congress",null,2018-09-13,null,null,null,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946993,"Surface and Electric Field Imaging by Newly Designed Atomic-Resolution STEM",null,"[Ryo Ishikawa]",null,"Microscopy and Microanalysis 2018",null,2018-08-08,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42946971,"Tracking of single atom diffusion in bulk materials","Tracking of single atom diffusion in bulk materials","[Ryo Ishikawa]",null,"International Workshop on Scanning Transmission Electron Microscopy",null,2018-05-11,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,42947028,"Dynamic observation of single atom diffusion and phase transition",null,"[Ryo Ishikawa,Rohan Mishra,A.R. Lupini,Takashi Taniguchi,Naoya Shibata,Yuichi Ikuhara]",null,"2018 MRS Spring Meeting & Exhibit",null,2018-04-04,null,null,true,null,invited_oral_presentation,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
